nome,nota,setor
Synchro Sistemas de Informação,"4,0",Tecnologia da informação
I4PRO,"4,6",Tecnologia da informação
Tecnofit,"4,2",Tecnologia da informação
Dataside,"4,3",Tecnologia da informação
Caju (Brazil),"4,4",Tecnologia da informação
Booz Allen Hamilton,"4,2",Tecnologia da informação
Tempest Security Intelligence,"4,3",Tecnologia da informação
Fullstack Labs,"4,2",Tecnologia da informação
Nimbi,"4,1",Tecnologia da informação
Bling!,"4,2",Tecnologia da informação
TrueChange,"4,7",Tecnologia da informação
Smarapd,"4,5",Tecnologia da informação
Tray,"4,7",Tecnologia da informação
Qlik,"4,0",Tecnologia da informação
iEnergizer,"4,1",Tecnologia da informação
General Dynamics Information Technology,"4,0",Tecnologia da informação
RTB House,"4,0",Tecnologia da informação
Pegasystems,"4,0",Tecnologia da informação
Mercos,"4,7",Tecnologia da informação
Fiverr Inc.,"4,2",Tecnologia da informação
TownSq,"4,1",Tecnologia da informação
Engesoftware Tecnologia,"4,2",Tecnologia da informação
CEI,"4,1",Tecnologia da informação
Datum TI,"4,4",Tecnologia da informação
Vetta,"4,3",Tecnologia da informação
3CON (Brazil),"4,4",Tecnologia da informação
Atlas Technologies (Brazil),"4,4",Tecnologia da informação
Leads2b,"4,1",Tecnologia da informação
SUSE,"4,0",Tecnologia da informação
Itaipu Parquetec,"4,0",Tecnologia da informação
Vidalink,"4,3",Tecnologia da informação
A3Data,"4,1",Tecnologia da informação
Luby,"4,4",Tecnologia da informação
Verint,"4,0",Tecnologia da informação
Stilingue,"4,5",Tecnologia da informação
Brasoftware,"4,2",Tecnologia da informação
Paytrack,"4,1",Tecnologia da informação
LEVTY,"4,7",Tecnologia da informação
Company Hero,"4,6",Tecnologia da informação
Aurum Software,"4,2",Tecnologia da informação
CSP Tech,"4,3",Tecnologia da informação
Logic Information Systems,"4,1",Tecnologia da informação
Blip,"4,2",Tecnologia da informação
Databricks,"4,3",Tecnologia da informação
Kaspersky,"4,2",Tecnologia da informação
Slide Inc,"4,4",Tecnologia da informação
Opus Software,"4,6",Tecnologia da informação
Nutanix,"4,0",Tecnologia da informação
Soften Sistemas,"4,4",Tecnologia da informação
Promob Software Solutions,"4,2",Tecnologia da informação
Numen IT,"4,4",Tecnologia da informação
CoreBiz. Group,"4,1",Tecnologia da informação
Mouts TI,"4,3",Tecnologia da informação
Logitech,"4,2",Tecnologia da informação
Tractian,"4,3",Tecnologia da informação
Entelgy,"4,0",Tecnologia da informação
GeekHunter,"4,2",Tecnologia da informação
Knewin,"4,4",Tecnologia da informação
Minu,"4,2",Tecnologia da informação
DATACOM (Brazil),"4,3",Tecnologia da informação
Marvell Technology,"4,1",Tecnologia da informação
Arm,"4,4",Tecnologia da informação
YES,"4,2",Tecnologia da informação
Altair Engineering,"4,2",Tecnologia da informação
Buscapé,"4,2",Tecnologia da informação
Incognia,"4,7",Tecnologia da informação
Nibo,"4,3",Tecnologia da informação
Agoda,"4,0",Tecnologia da informação
Intelie,"4,0",Tecnologia da informação
Movidesk,"4,1",Tecnologia da informação
Magazord,"4,3",Tecnologia da informação
PremierSoft,"4,2",Tecnologia da informação
iSystems,"4,4",Tecnologia da informação
PDCase,"4,0",Tecnologia da informação
LabWare,"4,5",Tecnologia da informação
Dell Lead,"4,3",Tecnologia da informação
ESSS,"4,3",Tecnologia da informação
VOLL,"4,1",Tecnologia da informação
Aoop Cloud Solutions,"4,5",Tecnologia da informação
iClinic,"4,5",Tecnologia da informação
Hexagon Mining,"4,3",Tecnologia da informação
Zappts,"4,0",Tecnologia da informação
Palo Alto Networks,"4,0",Tecnologia da informação
Leega,"4,1",Tecnologia da informação
Grupo Algar,"4,7",Tecnologia da informação
Everymind (Brazil),"4,2",Tecnologia da informação
FPF Tech,"4,5",Tecnologia da informação
Khomp,"4,3",Tecnologia da informação
Kumulus,"4,0",Tecnologia da informação
SenseData,"4,5",Tecnologia da informação
Becomex Consulting,"4,0",Tecnologia da informação
Gera,"4,2",Tecnologia da informação
Exadel,"4,2",Tecnologia da informação
Everise,"4,5",Tecnologia da informação
Wix,"4,1",Tecnologia da informação
Canva,"4,1",Tecnologia da informação
Guidewire,"4,2",Tecnologia da informação
Opah IT Consulting,"4,2",Tecnologia da informação
Vistex,"4,2",Tecnologia da informação
Ascenty,"4,7",Tecnologia da informação
Splunk,"4,1",Tecnologia da informação
PontoTel,"4,5",Tecnologia da informação
Innohub Technologies,"4,4",Tecnologia da informação
Cooperativa COMIGO,"4,5",Tecnologia da informação
MXM Sistemas,"4,4",Tecnologia da informação
Elumini,"4,5",Tecnologia da informação
Mercado Eletrônico,"4,2",Tecnologia da informação
Rocket Internet,"4,2",Tecnologia da informação
Hiper Software,"4,0",Tecnologia da informação
GSW Software,"4,3",Tecnologia da informação
Computécnica Tecnologia,"4,1",Tecnologia da informação
netLex,"4,5",Tecnologia da informação
GO.K,"4,3",Tecnologia da informação
EPI-USE,"4,3",Tecnologia da informação
GAVB,"4,3",Tecnologia da informação
Premier IT Solutions,"4,2",Tecnologia da informação
MATH Group,"4,5",Tecnologia da informação
Trimble Brasil,"4,6",Tecnologia da informação
SoftDesign,"4,7",Tecnologia da informação
HashedIn by Deloitte,"4,2",Tecnologia da informação
Trinks (Brazil),"4,3",Tecnologia da informação
Siteware,"4,3",Tecnologia da informação
Altimetrik,"4,0",Tecnologia da informação
Tecgraf,"4,4",Tecnologia da informação
Audaces,"4,0",Tecnologia da informação
First Decision Tecnologias Inovadoras,"4,2",Tecnologia da informação
Memora Processos Inovadores,"4,4",Tecnologia da informação
Laboratório Bridge,"4,8",Tecnologia da informação
Preply,"4,1",Tecnologia da informação
Kainos,"4,0",Tecnologia da informação
Zitrus Healthtech,"4,2",Tecnologia da informação
Asana,"4,1",Tecnologia da informação
Fretadão,"4,1",Tecnologia da informação
Pareto Group (Brazil),"4,7",Tecnologia da informação
Stealth Startup,"4,2",Tecnologia da informação
Beyond Soluções,"4,6",Tecnologia da informação
PrimeUP,"4,4",Tecnologia da informação
Corebiz,"4,1",Tecnologia da informação
Vsoft,"4,8",Tecnologia da informação
LinkApi,"4,4",Tecnologia da informação
Basis Technologies,"4,2",Tecnologia da informação
ProJuris,"4,2",Tecnologia da informação
Vericode Tecnologia,"4,6",Tecnologia da informação
AgileEngine,"4,4",Tecnologia da informação
SmarttBot,"4,6",Tecnologia da informação
DANA,"4,1",Tecnologia da informação
MáximaTech,"4,1",Tecnologia da informação
Way2 Technology,"4,2",Tecnologia da informação
WK,"4,2",Tecnologia da informação
Darede Serviços de TI,"4,4",Tecnologia da informação
OSIsoft,"4,2",Tecnologia da informação
Checklist Fácil,"4,4",Tecnologia da informação
PipeRun,"4,9",Tecnologia da informação
X-Team,"4,7",Tecnologia da informação
Elotech,"4,2",Tecnologia da informação
Viceri-Seidor,"4,1",Tecnologia da informação
Avantia,"4,1",Tecnologia da informação
Box,"4,3",Tecnologia da informação
labsit,"4,3",Tecnologia da informação
Shift,"4,9",Tecnologia da informação
Cognyte,"4,2",Tecnologia da informação
MathWorks,"4,3",Tecnologia da informação
Britech,"4,4",Tecnologia da informação
Cloudera,"4,0",Tecnologia da informação
Intralinks,"4,2",Tecnologia da informação
Mindera,"4,3",Tecnologia da informação
Microcity,"4,3",Tecnologia da informação
Art IT,"4,5",Tecnologia da informação
Grupo Casa Magalhães,"4,1",Tecnologia da informação
Deliver IT,"4,3",Tecnologia da informação
Lecom,"4,6",Tecnologia da informação
Vertigo Tecnologia,"4,3",Tecnologia da informação
Tokenlab,"4,4",Tecnologia da informação
Conductor,"3,9",Tecnologia da informação
Exed Consulting,"4,7",Tecnologia da informação
Tencent,"4,1",Tecnologia da informação
Maitha Tech,"4,6",Tecnologia da informação
Seiko Epson,"4,0",Tecnologia da informação
Coaktion,"4,0",Tecnologia da informação
Grab,"4,0",Tecnologia da informação
MB Labs,"4,2",Tecnologia da informação
Redspark,"4,1",Tecnologia da informação
Academia,"4,1",Tecnologia da informação
WatchGuard Technologies,"4,3",Tecnologia da informação
AppsFlyer,"4,2",Tecnologia da informação
B2 Soluções e Tecnologia S.A.,"4,4",Tecnologia da informação
Gringo o Melhor Amigo do Motorista,"4,3",Tecnologia da informação
Zoox Smart Data,"4,1",Tecnologia da informação
Kobe,"4,5",Tecnologia da informação
Blend IT,"4,2",Tecnologia da informação
WSO2,"4,3",Tecnologia da informação
GRUPO SIAGRI,"4,1",Tecnologia da informação
DataArt,"4,4",Tecnologia da informação
Rocket Lawyer,"4,0",Tecnologia da informação
Lumis,"4,3",Tecnologia da informação
Rocket.Chat,"4,2",Tecnologia da informação
Datasite,"4,2",Tecnologia da informação
Intelia,"4,1",Tecnologia da informação
QI Tech,"4,1",Tecnologia da informação
Griaule,"4,4",Tecnologia da informação
Hinova Solucoes Digitais,"4,1",Tecnologia da informação
Sempre IT,"4,3",Tecnologia da informação
Descartes Systems,"4,0",Tecnologia da informação
Lett,"4,1",Tecnologia da informação
Bemol Digital,"4,2",Tecnologia da informação
Mobills Labs,"4,0",Tecnologia da informação
Verisk,"4,0",Tecnologia da informação
Softline,"4,0",Tecnologia da informação
Before TI,"4,3",Tecnologia da informação
Kenoby,"4,3",Tecnologia da informação
Mindsight (Brazil),"4,1",Tecnologia da informação
Propz,"4,2",Tecnologia da informação
Concert Technologies Brasil,"4,2",Tecnologia da informação
Base2,"4,4",Tecnologia da informação
PROS,"4,1",Tecnologia da informação
Kyros Tecnologia,"4,1",Tecnologia da informação
QAD,"4,2",Tecnologia da informação
DOC88,"4,3",Tecnologia da informação
CBYK,"4,5",Tecnologia da informação
MobiCare,"4,2",Tecnologia da informação
Dentsu World Services,"4,1",Tecnologia da informação
Euax,"4,0",Tecnologia da informação
PerformaIT,"4,3",Tecnologia da informação
Sys Manager Informática Ltda,"4,1",Tecnologia da informação
Delivery Direto,"4,2",Tecnologia da informação
Teclógica,"4,8",Tecnologia da informação
ZG Soluções,"4,1",Tecnologia da informação
Pacto Soluções Tecnologicas,"4,0",Tecnologia da informação
Alta Rail Technology,"4,1",Tecnologia da informação
Vortigo,"4,6",Tecnologia da informação
MTP Métodos e Tecnologia – Brasil,"4,0",Tecnologia da informação
Híbrido,"4,3",Tecnologia da informação
Skeelo,"4,5",Tecnologia da informação
Gx2 Tecnologia,"4,0",Tecnologia da informação
Grupo New Way,"4,4",Tecnologia da informação
Kiwify,"4,3",Tecnologia da informação
Dropbox,"4,0",Tecnologia da informação
Flix,"4,0",Tecnologia da informação
monday.com,"4,0",Tecnologia da informação
Ascential,"4,2",Tecnologia da informação
T2C Group,"4,0",Tecnologia da informação
Huggy (Brazil),"4,2",Tecnologia da informação
Codeminer42,"4,1",Tecnologia da informação
Runtalent,"4,6",Tecnologia da informação
Netskope,"4,2",Tecnologia da informação
Impulso,"4,8",Tecnologia da informação
Oobj Tecnologia,"4,5",Tecnologia da informação
Kraken Digital Asset Exchange,"4,4",Tecnologia da informação
Asksuite,"4,6",Tecnologia da informação
Exati Tecnologia,"4,5",Tecnologia da informação
ValueLabs,"4,1",Tecnologia da informação
CITS,"4,0",Tecnologia da informação
Join Tecnologia,"4,4",Tecnologia da informação
TeKnowledge,"4,0",Tecnologia da informação
Gateware,"4,1",Tecnologia da informação
Autonomous,"4,0",Tecnologia da informação
Target Sistemas,"4,3",Tecnologia da informação
Axis Communications,"4,1",Tecnologia da informação
IGT Solutions,"4,2",Tecnologia da informação
Goomer,"4,3",Tecnologia da informação
SUPERCOMM,"4,4",Tecnologia da informação
Zeev,"4,5",Tecnologia da informação
SMART Modular,"4,1",Tecnologia da informação
Winnin,"4,4",Tecnologia da informação
McFadyen Digital,"4,5",Tecnologia da informação
Tecla T,"4,5",Tecnologia da informação
Big Data Brasil,"4,2",Tecnologia da informação
Mesa Mobile Thinking,"4,5",Tecnologia da informação
CG One,"4,6",Tecnologia da informação
Pantheon (Virginia),"4,4",Tecnologia da informação
Rei do Pitaco,"4,1",Tecnologia da informação
Cromai,"4,1",Tecnologia da informação
Letras,"4,3",Tecnologia da informação
Ivory It,"4,1",Tecnologia da informação
number8,"4,7",Tecnologia da informação
Saipos,"4,7",Tecnologia da informação
Desk Manager,"4,6",Tecnologia da informação
SupportYourApp,"4,7",Tecnologia da informação
BigDataCorp,"4,2",Tecnologia da informação
Caylent,"4,3",Tecnologia da informação
uTest,"4,0",Tecnologia da informação
Maplink,"4,1",Tecnologia da informação
Meraki,"4,0",Tecnologia da informação
Ansys,"4,3",Tecnologia da informação
Intellect Design Arena,"4,0",Tecnologia da informação
Tietoevry,"4,0",Tecnologia da informação
Gorila,"4,6",Tecnologia da informação
Proxify,"4,3",Tecnologia da informação
E-Deploy,"4,0",Tecnologia da informação
Ecommerce,"4,3",Tecnologia da informação
Social Bank,"4,0",Tecnologia da informação
Prime IT Solutions,"4,2",Tecnologia da informação
Umbler,"4,5",Tecnologia da informação
CrowdStrike,"4,2",Tecnologia da informação
YouX Group,"4,1",Tecnologia da informação
Collact,"4,5",Tecnologia da informação
Eiti,"4,1",Tecnologia da informação
Trizy,"4,1",Tecnologia da informação
Melhor Plano,"4,0",Tecnologia da informação
Nordica,"4,4",Tecnologia da informação
Caiena,"4,5",Tecnologia da informação
Avansys Tecnologia,"4,1",Tecnologia da informação
Kbase IT Solutions,"4,2",Tecnologia da informação
Shape,"4,0",Tecnologia da informação
Buzzmonitor,"4,0",Tecnologia da informação
Bry,"4,4",Tecnologia da informação
Truelogic Software Solutions,"4,6",Tecnologia da informação
Nextar,"4,5",Tecnologia da informação
Usemobile,"4,8",Tecnologia da informação
Kyndryl Brasil Serviços,"4,0",Tecnologia da informação
Nexaas,"4,0",Tecnologia da informação
Wavy Global,"4,3",Tecnologia da informação
Vinta Software,"4,8",Tecnologia da informação
ESET,"4,0",Tecnologia da informação
Paipe,"4,0",Tecnologia da informação
Cellebrite,"4,3",Tecnologia da informação
Agriness,"4,2",Tecnologia da informação
Yandex,"4,3",Tecnologia da informação
ShowCase PRO,"4,0",Tecnologia da informação
Oiti,"4,2",Tecnologia da informação
EVT,"4,3",Tecnologia da informação
Ness Digital Engineering,"4,2",Tecnologia da informação
Sequor Softwares Industriais,"4,2",Tecnologia da informação
Softvaro,"4,2",Tecnologia da informação
VILT Group,"4,3",Tecnologia da informação
Apexon,"4,2",Tecnologia da informação
PedidosYa,"4,0",Tecnologia da informação
TOPdesk,"4,2",Tecnologia da informação
Ninecon,"4,4",Tecnologia da informação
Yardi Systems,"4,0",Tecnologia da informação
AEVO,"4,2",Tecnologia da informação
Validity,"4,6",Tecnologia da informação
Rocket Software,"4,0",Tecnologia da informação
Tecnologia Única,"4,8",Tecnologia da informação
1Doc,"4,0",Tecnologia da informação
Linte,"4,3",Tecnologia da informação
GestãoClick,"4,4",Tecnologia da informação
Avec (Brazil),"4,0",Tecnologia da informação
Equativ,"4,5",Tecnologia da informação
YSSY,"4,0",Tecnologia da informação
Rumo Soluções,"4,4",Tecnologia da informação
atile.digital,"4,5",Tecnologia da informação
msg global solutions,"4,3",Tecnologia da informação
PEBMED,"4,4",Tecnologia da informação
PSafe,"4,1",Tecnologia da informação
ASG Technologies,"4,0",Tecnologia da informação
Melissa Data Corporation,"4,3",Tecnologia da informação
People Pro,"4,3",Tecnologia da informação
CriticalRiver,"4,5",Tecnologia da informação
Teltec Solutions,"4,5",Tecnologia da informação
Ateliware,"4,8",Tecnologia da informação
GreenMile,"4,1",Tecnologia da informação
ASDF Web Hosting,"4,4",Tecnologia da informação
Autoforce,"4,3",Tecnologia da informação
esx,"4,8",Tecnologia da informação
ODATA,"4,5",Tecnologia da informação
Jaya,"4,3",Tecnologia da informação
VEGA I.T.,"4,5",Tecnologia da informação
OKG,"4,1",Tecnologia da informação
Singular,"4,4",Tecnologia da informação
RedFox Digital Solutions,"4,1",Tecnologia da informação
Grão Direto,"4,2",Tecnologia da informação
Produttivo,"4,7",Tecnologia da informação
italki,"4,4",Tecnologia da informação
Zeentech,"4,0",Tecnologia da informação
Solor Tecnologia,"4,5",Tecnologia da informação
V360,"4,6",Tecnologia da informação
Nearsure,"4,2",Tecnologia da informação
Segura®,"4,5",Tecnologia da informação
IT-One (Brazil),"4,2",Tecnologia da informação
T2M Test to Market,"4,5",Tecnologia da informação
Payface,"4,1",Tecnologia da informação
InterSystems,"4,2",Tecnologia da informação
Voltz Capital,"4,0",Tecnologia da informação
ZBRA,"5,0",Tecnologia da informação
atolls,"4,1",Tecnologia da informação
Fulcrum Worldwide,"4,1",Tecnologia da informação
Provider IT,"4,2",Tecnologia da informação
Segware,"4,4",Tecnologia da informação
scandiweb,"4,6",Tecnologia da informação
Braze,"5,0",Tecnologia da informação
Ubiminds,"4,1",Tecnologia da informação
athenahealth,"4,1",Tecnologia da informação
Ceptis,"4,2",Tecnologia da informação
Plataformatec,"4,8",Tecnologia da informação
Samsung Semiconductor Inc (US),"4,0",Tecnologia da informação
Jota,"4,5",Tecnologia da informação
Ideris Lab,"4,0",Tecnologia da informação
Vonage,"4,0",Tecnologia da informação
Questor Sistemas,"4,2",Tecnologia da informação
Rohde & Schwarz,"4,1",Tecnologia da informação
QAT Global,"4,6",Tecnologia da informação
Social mLabs,"4,7",Tecnologia da informação
Labsoft Tecnologia,"4,6",Tecnologia da informação
QDOIS,"4,5",Tecnologia da informação
Comunique-se,"4,1",Tecnologia da informação
Fortics,"4,1",Tecnologia da informação
Dattos,"4,2",Tecnologia da informação
SAIC,"4,0",Tecnologia da informação
Harpia Cloud,"4,4",Tecnologia da informação
CoreLogic,"4,3",Tecnologia da informação
KAYAK,"4,5",Tecnologia da informação
Protega Security Consulting,"4,6",Tecnologia da informação
Sorte Online,"4,3",Tecnologia da informação
Ramo Sistemas,"4,3",Tecnologia da informação
Diletta Solutions,"4,6",Tecnologia da informação
Dev.Pro,"4,7",Tecnologia da informação
Viaflow,"4,3",Tecnologia da informação
Aprova Digital,"4,1",Tecnologia da informação
DYNINNO Group,"4,2",Tecnologia da informação
Wiz,"4,7",Tecnologia da informação
Gazintech,"4,1",Tecnologia da informação
Bio Ritmo,"4,2",Tecnologia da informação
HVAR Consulting,"4,6",Tecnologia da informação
2S Technological Innovations,"4,4",Tecnologia da informação
Kunumi,"4,5",Tecnologia da informação
Mirakl,"4,3",Tecnologia da informação
Aunica,"4,1",Tecnologia da informação
Lean Tech IO,"4,2",Tecnologia da informação
Cellere,"4,3",Tecnologia da informação
eSapiens,"4,6",Tecnologia da informação
Movti,"4,9",Tecnologia da informação
BEON.tech,"4,8",Tecnologia da informação
Maxxi,"4,4",Tecnologia da informação
Mobiliza,"4,6",Tecnologia da informação
ClipEscola,"4,4",Tecnologia da informação
Modus Create,"4,2",Tecnologia da informação
Rech Informática,"4,2",Tecnologia da informação
Trinca,"4,4",Tecnologia da informação
Exactaworks,"4,7",Tecnologia da informação
E-TRUST SEGURANÇA DE INFORMAÇÃO,"4,3",Tecnologia da informação
Hivecloud,"4,0",Tecnologia da informação
Delfia,"4,4",Tecnologia da informação
Dazeworks,"4,2",Tecnologia da informação
